Timestamp,CH1 Volts,CH2 Volts,CH3 C,CH4 Volts,CH5 m/s^2,CH6 m/s^2,CH7 m/s^2,CH8 C
2025-03-08_12-37-15-623000,3.46,2.76,25.1,4.15,0.16,-0.07,0.15,26.3
2025-03-08_12-37-16-123000,3.43,2.83,25.3,4.1,0.07,-0.01,0.14,25.6
2025-03-08_12-37-16-623000,3.47,2.81,25.9,4.16,0.13,-0.12,0.06,26.1
2025-03-08_12-37-17-123000,3.33,2.69,25.2,4.09,0.08,-0.04,-0.1,26.7
2025-03-08_12-37-17-623000,3.37,2.77,26.3,4.1,0.07,-0.08,0.03,27.0
2025-03-08_12-37-18-123000,3.45,2.74,25.2,4.12,0.11,-0.07,0.1,26.3
2025-03-08_12-37-18-623000,3.42,2.81,25.6,4.1,0.07,-0.04,0.13,26.6
2025-03-08_12-37-19-123000,3.37,2.75,25.4,4.12,0.21,-0.07,0.11,25.6
2025-03-08_12-37-19-623000,3.46,2.7,25.7,4.05,0.2,0.04,0.02,25.8
2025-03-08_12-37-20-123000,3.45,2.84,24.6,4.05,0.18,-0.09,0.05,26.6
2025-03-08_12-37-20-623000,3.4,2.79,25.6,4.1,0.13,-0.03,0.05,25.9
2025-03-08_12-37-21-123000,3.48,2.7,25.2,4.13,0.17,-0.04,0.07,25.7
2025-03-08_12-37-21-623000,3.5,2.82,26.0,4.17,0.18,-0.11,0.08,26.2
2025-03-08_12-37-22-123000,3.44,2.77,25.8,4.15,0.05,-0.14,0.04,27.0
2025-03-08_12-37-22-623000,3.42,2.7,25.5,4.15,0.12,-0.08,0.08,26.8
2025-03-08_12-37-23-123000,3.4,2.85,25.1,4.12,0.22,-0.11,0.2,40.4
2025-03-08_12-37-23-623000,3.46,2.77,26.1,4.14,0.22,0.04,0.13,26.1
2025-03-08_12-37-24-123000,3.42,2.8,26.2,4.16,0.15,-0.14,0.13,26.3
2025-03-08_12-37-24-623000,3.42,2.8,25.5,4.04,0.14,-0.09,0.08,26.8
2025-03-08_12-37-25-123000,3.43,2.83,25.5,4.08,0.15,-0.05,0.12,26.3
2025-03-08_12-37-25-623000,3.46,2.74,24.8,4.14,0.14,-0.01,0.08,26.1
2025-03-08_12-37-26-123000,3.54,2.86,24.9,4.08,0.15,-0.06,0.1,26.3
2025-03-08_12-37-26-623000,3.45,2.78,25.8,4.08,0.08,-0.02,0.05,26.0
2025-03-08_12-37-27-123000,3.41,2.84,25.6,4.1,0.04,-0.07,0.03,26.2
2025-03-08_12-37-27-623000,3.46,2.78,26.0,4.15,0.12,-0.06,0.1,25.9
2025-03-08_12-37-28-123000,3.35,2.7,26.0,4.11,0.13,-0.04,0.09,26.1
2025-03-08_12-37-28-623000,3.47,2.83,26.1,4.19,0.18,-0.05,-0.06,25.7
2025-03-08_12-37-29-123000,3.45,2.79,25.7,4.05,0.09,-0.04,0.09,25.6
2025-03-08_12-37-29-623000,3.45,2.82,25.4,4.17,0.15,-0.08,0.13,25.8
2025-03-08_12-37-30-123000,3.47,2.74,26.2,4.04,0.18,-0.01,0.05,25.9
2025-03-08_12-37-30-623000,3.47,2.76,25.9,4.2,0.18,-0.05,0.1,25.6
2025-03-08_12-37-31-123000,3.45,2.68,25.2,4.02,0.12,-0.1,0.14,25.9
2025-03-08_12-37-31-623000,3.45,2.79,25.8,4.12,0.25,-0.08,0.07,27.0
2025-03-08_12-37-32-123000,3.44,2.74,25.6,4.09,0.15,-0.06,0.14,26.3
2025-03-08_12-37-32-623000,3.46,2.78,25.8,4.14,0.24,-0.07,0.01,25.1
2025-03-08_12-37-33-123000,3.36,2.79,24.9,4.01,0.21,-0.02,0.15,26.4
2025-03-08_12-37-33-623000,3.46,2.74,26.3,4.15,0.1,-0.04,0.1,26.1
2025-03-08_12-37-34-123000,3.42,2.71,25.6,4.13,0.09,-0.0,0.1,26.5
2025-03-08_12-37-34-623000,3.34,2.72,25.3,4.12,0.13,-0.07,0.11,25.5
2025-03-08_12-37-35-123000,3.43,2.81,24.8,4.1,0.11,-0.08,0.03,25.4
2025-03-08_12-37-35-623000,3.34,2.83,25.2,4.1,0.06,-0.01,0.16,25.6
2025-03-08_12-37-36-123000,3.42,2.77,25.7,4.09,0.08,-0.04,0.08,25.7
2025-03-08_12-37-36-623000,3.48,2.77,26.4,4.08,0.15,-0.0,0.05,27.0
2025-03-08_12-37-37-123000,3.43,2.74,26.1,4.09,0.15,-0.09,0.04,25.6
2025-03-08_12-37-37-623000,3.49,2.78,25.6,4.09,0.07,0.04,0.12,25.2
2025-03-08_12-37-38-123000,3.47,2.85,25.7,4.09,0.13,-0.09,0.09,25.5
2025-03-08_12-37-38-623000,3.4,2.74,26.1,4.13,0.15,-0.03,0.02,25.5
2025-03-08_12-37-39-123000,3.47,2.68,26.2,4.12,0.16,-0.07,0.06,26.0
2025-03-08_12-37-39-623000,3.46,2.81,26.3,4.14,0.13,-0.14,0.04,25.6
2025-03-08_12-37-40-123000,3.51,2.73,25.1,4.13,0.19,-0.07,0.03,26.9
2025-03-08_12-37-40-623000,3.52,2.73,25.0,4.11,0.05,-0.09,0.16,26.1
2025-03-08_12-37-41-123000,3.52,2.75,25.6,4.11,0.07,-0.0,0.05,25.4
2025-03-08_12-37-41-623000,3.45,2.78,25.9,4.13,0.12,-0.06,0.08,25.6
2025-03-08_12-37-42-123000,3.45,2.76,24.6,4.09,0.13,-0.09,0.14,26.3
2025-03-08_12-37-42-623000,3.49,2.85,26.0,4.02,0.15,-0.09,0.02,25.7
2025-03-08_12-37-43-123000,3.42,2.8,25.8,4.08,0.15,-0.04,-0.05,26.0
2025-03-08_12-37-43-623000,3.49,2.8,25.6,4.06,0.11,-0.07,0.08,25.5
2025-03-08_12-37-44-123000,3.37,2.77,26.0,4.12,0.18,-0.02,0.1,26.4
2025-03-08_12-37-44-623000,3.4,2.71,25.1,4.14,0.12,-0.09,0.13,25.3
2025-03-08_12-37-45-123000,3.46,2.83,25.6,4.07,0.08,-0.08,0.07,26.2
2025-03-08_12-37-45-623000,3.46,2.79,25.3,4.12,0.2,-0.12,0.11,25.6
2025-03-08_12-37-46-123000,3.38,2.85,25.4,4.02,0.14,0.02,0.19,25.7
2025-03-08_12-37-46-623000,3.42,2.79,25.8,4.22,0.15,0.0,0.12,26.3
2025-03-08_12-37-47-123000,3.43,2.77,25.4,4.21,0.09,-0.04,0.08,25.2
2025-03-08_12-37-47-623000,3.46,2.8,25.4,4.06,0.17,-0.04,0.08,26.0
2025-03-08_12-37-48-123000,3.43,2.79,25.6,4.19,0.17,-0.06,0.05,25.6
2025-03-08_12-37-48-623000,3.45,2.71,26.3,4.13,0.02,-0.02,0.13,25.7
2025-03-08_12-37-49-123000,3.42,2.73,25.4,4.13,0.16,-0.02,0.05,26.1
2025-03-08_12-37-49-623000,3.34,2.73,25.5,4.12,0.11,-0.04,0.0,26.4
2025-03-08_12-37-50-123000,3.42,2.78,25.7,4.1,0.11,-0.01,0.1,26.0
2025-03-08_12-37-50-623000,3.44,2.79,25.6,4.06,0.05,-0.08,0.01,25.3
2025-03-08_12-37-51-123000,3.44,2.8,25.8,4.1,0.07,-0.04,-0.01,26.7
2025-03-08_12-37-51-623000,3.47,2.74,24.8,4.05,0.18,-0.15,0.08,25.0
2025-03-08_12-37-52-123000,3.46,2.81,24.9,4.06,0.12,-0.02,0.16,25.8
2025-03-08_12-37-52-623000,3.4,2.74,25.8,4.06,0.17,-0.15,0.1,26.1
2025-03-08_12-37-53-123000,3.41,2.74,25.8,4.16,0.06,-0.09,0.05,25.7
2025-03-08_12-37-53-623000,3.5,2.76,26.0,4.11,0.12,-0.05,0.11,26.1
2025-03-08_12-37-54-123000,3.44,2.74,25.9,3.98,0.11,-0.06,0.08,25.7
2025-03-08_12-37-54-623000,3.38,2.79,26.1,4.04,0.18,-0.04,0.1,26.0
2025-03-08_12-37-55-123000,3.54,2.75,25.7,4.07,0.14,-0.01,0.03,26.7
2025-03-08_12-37-55-623000,3.45,2.77,26.3,4.13,0.09,-0.02,0.06,26.3
2025-03-08_12-37-56-123000,3.41,2.78,25.8,4.13,0.13,-0.08,0.09,25.8
2025-03-08_12-37-56-623000,3.42,2.89,25.1,4.11,0.15,-0.13,0.1,25.6
2025-03-08_12-37-57-123000,3.48,2.76,25.8,4.14,0.14,0.01,0.07,26.1
2025-03-08_12-37-57-623000,3.44,2.79,26.5,4.13,0.09,0.03,0.12,25.2
2025-03-08_12-37-58-123000,3.49,2.77,25.0,4.09,0.11,0.03,0.02,25.9
2025-03-08_12-37-58-623000,3.5,2.84,25.6,4.09,0.09,0.04,-0.07,25.8
2025-03-08_12-37-59-123000,3.49,2.73,25.8,4.04,0.11,-0.05,0.08,27.0
2025-03-08_12-37-59-623000,3.38,2.78,26.3,4.07,0.06,-0.0,0.03,26.2
2025-03-08_12-38-00-123000,3.37,2.73,26.0,4.06,0.1,-0.07,-0.0,25.9
2025-03-08_12-38-00-623000,3.4,2.77,25.0,4.09,0.02,-0.02,0.1,26.5
2025-03-08_12-38-01-123000,3.45,2.82,26.0,4.12,0.08,0.01,0.07,26.1
2025-03-08_12-38-01-623000,3.47,2.74,25.5,4.1,0.16,-0.08,0.11,26.0
2025-03-08_12-38-02-123000,3.4,2.77,25.5,4.12,0.15,-0.1,0.14,26.1
2025-03-08_12-38-02-623000,3.43,2.75,26.2,4.13,0.11,-0.03,0.13,26.2
2025-03-08_12-38-03-123000,3.47,2.81,25.2,4.07,0.11,0.02,0.14,26.2
2025-03-08_12-38-03-623000,3.4,2.76,25.0,4.15,0.19,-0.0,0.08,27.1
2025-03-08_12-38-04-123000,3.43,2.72,25.4,4.11,0.17,-0.09,0.03,25.5
2025-03-08_12-38-04-623000,3.46,2.93,25.4,4.17,0.18,-0.12,0.11,26.5
2025-03-08_12-38-05-123000,3.45,2.79,25.2,4.11,0.14,-0.06,0.15,26.7
2025-03-08_12-38-05-623000,3.47,2.7,26.6,4.1,0.09,-0.04,-0.02,25.8
2025-03-08_12-38-06-123000,3.37,2.77,25.6,4.09,0.09,-0.07,0.1,25.7
2025-03-08_12-38-06-623000,3.5,2.77,25.7,4.07,0.08,-0.07,0.07,24.9
2025-03-08_12-38-07-123000,3.54,2.79,25.5,4.09,0.19,-0.04,0.17,25.4
2025-03-08_12-38-07-623000,3.45,2.76,25.7,4.1,0.19,-0.05,0.25,26.7
2025-03-08_12-38-08-123000,3.52,2.78,26.5,4.05,0.09,-0.03,0.09,25.9
2025-03-08_12-38-08-623000,3.43,2.89,25.0,4.1,0.14,-0.08,0.1,26.2
2025-03-08_12-38-09-123000,3.46,2.77,26.1,4.18,0.09,-0.07,0.08,26.6
2025-03-08_12-38-09-623000,3.36,2.76,25.6,4.14,0.04,-0.12,0.02,26.3
2025-03-08_12-38-10-123000,3.46,2.82,25.7,4.07,0.21,-0.01,0.1,26.3
2025-03-08_12-38-10-623000,3.42,2.74,26.3,4.08,0.1,0.01,0.13,27.5
2025-03-08_12-38-11-123000,3.41,2.86,25.0,4.21,0.15,-0.07,0.13,26.4
2025-03-08_12-38-11-623000,3.49,2.77,24.8,4.19,0.09,-0.02,0.04,26.0
2025-03-08_12-38-12-123000,3.46,2.75,25.1,4.12,0.12,-0.05,0.11,25.9
2025-03-08_12-38-12-623000,3.53,2.77,25.7,4.0,0.07,-0.16,0.16,26.1
2025-03-08_12-38-13-123000,3.48,2.76,24.8,4.15,0.11,-0.04,0.04,26.4
2025-03-08_12-38-13-623000,3.43,2.83,25.9,4.14,0.1,-0.01,0.22,26.4
2025-03-08_12-38-14-123000,3.45,2.78,26.1,4.14,0.14,-0.1,0.1,25.9
2025-03-08_12-38-14-623000,3.33,2.69,25.4,4.17,0.12,-0.05,0.11,25.8
2025-03-08_12-38-15-123000,3.44,2.7,26.1,4.17,0.08,-0.03,0.09,26.9
2025-03-08_12-38-15-623000,3.41,2.73,25.1,4.14,0.1,-0.09,0.03,26.1
2025-03-08_12-38-16-123000,3.5,2.82,25.9,4.24,0.0,-0.07,0.12,26.4
2025-03-08_12-38-16-623000,3.5,2.79,25.7,4.06,0.15,-0.07,0.08,26.2
2025-03-08_12-38-17-123000,3.47,2.85,26.1,4.07,0.19,-0.04,0.14,10.4
2025-03-08_12-38-17-623000,3.51,2.8,24.7,4.08,0.2,-0.07,0.04,26.0
2025-03-08_12-38-18-123000,3.45,2.73,25.0,4.13,0.18,-0.02,0.14,25.9
2025-03-08_12-38-18-623000,3.51,2.82,25.7,4.07,0.16,-0.09,0.15,25.9
2025-03-08_12-38-19-123000,3.44,2.86,25.4,4.09,0.19,-0.0,0.13,26.4
2025-03-08_12-38-19-623000,3.42,2.82,25.4,4.19,0.12,-0.01,0.13,26.7
2025-03-08_12-38-20-123000,3.44,2.75,25.3,4.12,0.1,-0.01,0.16,26.7
2025-03-08_12-38-20-623000,3.46,2.79,25.3,4.1,0.15,-0.11,0.06,26.0
2025-03-08_12-38-21-123000,3.51,2.72,25.5,4.04,0.11,-0.13,0.16,25.1
2025-03-08_12-38-21-623000,3.47,2.81,25.3,4.12,0.11,0.0,0.07,25.0
2025-03-08_12-38-22-123000,3.47,2.76,25.4,4.05,0.17,-0.01,0.12,25.9
2025-03-08_12-38-22-623000,3.47,2.78,26.0,4.03,0.01,-0.07,0.28,26.5
2025-03-08_12-38-23-123000,3.49,2.69,25.5,4.09,0.14,-0.09,0.03,27.3
2025-03-08_12-38-23-623000,3.49,2.76,25.5,4.12,0.11,-0.12,0.11,25.2
2025-03-08_12-38-24-123000,3.55,2.86,25.4,4.11,0.09,-0.12,0.12,26.1
2025-03-08_12-38-24-623000,3.5,2.79,24.7,4.06,0.15,-0.06,0.06,26.4
2025-03-08_12-38-25-123000,3.45,2.69,24.9,4.24,0.16,-0.04,0.14,26.4
2025-03-08_12-38-25-623000,3.48,2.74,24.9,4.13,0.08,-0.03,0.11,24.9
2025-03-08_12-38-26-123000,3.41,2.82,25.6,4.03,0.18,-0.05,0.04,26.3
2025-03-08_12-38-26-623000,3.45,2.77,25.6,4.08,0.14,0.03,0.11,26.4
2025-03-08_12-38-27-123000,3.45,2.78,24.8,4.12,0.15,-0.06,0.06,25.4
2025-03-08_12-38-27-623000,3.43,2.81,25.9,4.17,0.1,-0.03,0.12,27.0
2025-03-08_12-38-28-123000,3.51,2.73,26.1,4.1,0.17,0.03,0.08,25.1
2025-03-08_12-38-28-623000,3.4,2.75,26.7,4.1,0.15,0.07,0.11,26.4
2025-03-08_12-38-29-123000,3.37,2.89,25.8,4.18,0.18,-0.09,0.04,25.6
2025-03-08_12-38-29-623000,3.46,2.72,25.7,4.13,0.08,-0.04,0.08,26.5
